date,cash,shares,position_value,equity,total_contributed,technical_state
2023-01-03,4000.0,55.42100437860644,5991.010488761614,9991.010488761614,10000.0,0
2023-01-04,4000.0,55.42100437860644,6298.042903758539,10298.042903758538,10000.0,0
2023-01-05,4000.0,55.42100437860644,6115.153420177655,10115.153420177656,10000.0,0
2023-01-06,4000.0,55.42100437860644,6265.898619740058,10265.898619740059,10000.0,0
2023-01-09,4000.0,55.42100437860644,6637.773508381062,10637.773508381062,10000.0,0
2023-01-10,4000.0,55.42100437860644,6586.786285831634,10586.786285831633,10000.0,0
2023-01-11,4000.0,55.42100437860644,6828.976227184478,10828.976227184477,10000.0,0
2023-01-12,4000.0,55.42100437860644,6847.819165715426,10847.819165715426,10000.0,0
2023-01-13,4000.0,55.42100437860644,6783.53102050717,10783.53102050717,10000.0,0
2023-01-17,4000.0,55.42100437860644,7287.30817017963,11287.308170179629,10000.0,0
2023-01-18,4000.0,55.42100437860644,7137.116876224344,11137.116876224343,10000.0,0
2023-01-19,4000.0,55.42100437860644,7047.889025348492,11047.889025348493,10000.0,0
2023-01-20,4000.0,55.42100437860644,7394.270302714782,11394.270302714782,10000.0,0
2023-01-23,4000.0,55.42100437860644,7966.769379424676,11966.769379424677,10000.0,0
2023-01-24,4000.0,55.42100437860644,7974.5282862113845,11974.528286211385,10000.0,0
2023-01-25,4000.0,55.42100437860644,8004.455256486569,12004.45525648657,10000.0,0
2023-01-26,4000.0,55.42100437860644,8882.324608543331,12882.324608543331,10000.0,0
2023-01-27,4000.0,55.42100437860644,9859.396340691119,13859.396340691119,10000.0,0
2023-01-30,4000.0,55.42100437860644,9236.46479269633,13236.46479269633,10000.0,0
2023-01-31,4000.0,55.42100437860644,9600.026446114802,13600.026446114802,10000.0,0
2023-02-01,8000.0,88.44570184744256,16044.935096042387,24044.935096042387,20000.0,0
2023-02-02,8000.0,88.44570184744256,16651.67266469882,24651.67266469882,20000.0,0
2023-02-03,8000.0,88.44570184744256,16802.91405909633,24802.91405909633,20000.0,0
2023-02-06,8000.0,88.44570184744256,17225.68440596116,25225.68440596116,20000.0,0
2023-02-07,8000.0,88.44570184744256,17406.998364663283,25406.998364663283,20000.0,0
2023-02-08,8000.0,88.44570184744256,17803.23473105902,25803.23473105902,20000.0,0
2023-02-09,8000.0,88.44570184744256,18336.56355480746,26336.56355480746,20000.0,0
2023-02-10,8000.0,88.44570184744256,17414.074182759992,25414.074182759992,20000.0,0
2023-02-13,8000.0,88.44570184744256,17215.07135360325,25215.07135360325,20000.0,0
2023-02-14,8000.0,88.44570184744256,18507.263111577355,26507.263111577355,20000.0,0
2023-02-15,8000.0,88.44570184744256,18948.607649642847,26948.607649642847,20000.0,0
2023-02-16,8000.0,88.44570184744256,17869.5690074446,25869.5690074446,20000.0,0
2023-02-17,8000.0,88.44570184744256,18424.123935908872,26424.123935908872,20000.0,0
2023-02-21,8000.0,88.44570184744256,17456.52774176596,25456.52774176596,20000.0,0
2023-02-22,8000.0,88.44570184744256,17765.203727060285,25765.203727060285,20000.0,0
2023-02-23,8000.0,88.44570184744256,17872.223620108387,25872.223620108387,20000.0,0
2023-02-24,8000.0,88.44570184744256,17413.19021158827,25413.19021158827,20000.0,0
2023-02-27,8000.0,88.44570184744256,18363.98150644828,26363.98150644828,20000.0,0
2023-02-28,8000.0,88.44570184744256,18194.165920850104,26194.165920850104,20000.0,0
2023-03-01,12000.0,117.99154374973658,23925.14583024835,35925.14583024835,30000.0,0
2023-03-02,12000.0,117.99154374973658,22524.584981661486,34524.58498166149,30000.0,0
2023-03-03,12000.0,117.99154374973658,23337.546646080846,35337.546646080846,30000.0,0
2023-03-06,12000.0,117.99154374973658,22867.940806071154,34867.94080607116,30000.0,0
2023-03-07,12000.0,117.99154374973658,22148.193469442605,34148.1934694426,30000.0,0
2023-03-08,12000.0,117.99154374973658,21474.460962452056,33474.46096245205,30000.0,0
2023-03-09,12000.0,117.99154374973658,20403.09752915548,32403.09752915548,30000.0,0
2023-03-10,12000.0,117.99154374973658,20464.453636019603,32464.453636019603,30000.0,0
2023-03-13,12000.0,117.99154374973658,20587.164049339775,32587.164049339775,30000.0,0
2023-03-14,12000.0,117.99154374973658,21623.129659429815,33623.12965942982,30000.0,0
2023-03-15,12000.0,117.99154374973658,21291.57370955835,33291.573709558346,30000.0,0
2023-03-16,12000.0,117.99154374973658,21725.78352676958,33725.78352676958,30000.0,0
2023-03-17,12000.0,117.99154374973658,21253.817351770635,33253.81735177063,30000.0,0
2023-03-20,12000.0,117.99154374973658,21621.950392139228,33621.95039213923,30000.0,0
2023-03-21,12000.0,117.99154374973658,23312.769430121924,35312.76943012192,30000.0,0
2023-03-22,12000.0,117.99154374973658,22554.082867598918,34554.08286759892,30000.0,0
2023-03-23,12000.0,117.99154374973658,22680.334683607012,34680.33468360701,30000.0,0
2023-03-24,12000.0,117.99154374973658,22466.770277485277,34466.77027748528,30000.0,0
2023-03-27,12000.0,117.99154374973658,22631.95771857168,34631.95771857168,30000.0,0
2023-03-28,12000.0,117.99154374973658,22322.820450077954,34322.820450077954,30000.0,0
2023-03-29,12000.0,117.99154374973658,22876.20107832951,34876.20107832951,30000.0,0
2023-03-30,12000.0,117.99154374973658,23041.388519415912,35041.38851941591,30000.0,0
2023-03-31,12000.0,117.99154374973658,24478.526458499906,36478.52645849991,30000.0,0
2023-04-03,16000.0,148.75095411757164,28972.223969012073,44972.22396901208,40000.0,0
2023-04-04,16000.0,148.75095411757164,28646.45901633308,44646.45901633308,40000.0,0
2023-04-05,16000.0,148.75095411757164,27596.277643424535,43596.27764342453,40000.0,0
2023-04-06,16000.0,148.75095411757164,27527.851205836298,43527.8512058363,40000.0,0
2023-04-10,16000.0,148.75095411757164,27446.037727119743,43446.03772711974,40000.0,0
2023-04-11,16000.0,148.75095411757164,27785.189720927057,43785.189720927054,40000.0,0
2023-04-12,16000.0,148.75095411757164,26855.496257692233,42855.49625769223,40000.0,0
2023-04-13,16000.0,148.75095411757164,27652.801462552798,43652.8014625528,40000.0,0
2023-04-14,16000.0,148.75095411757164,27518.926511750753,43518.92651175075,40000.0,0
2023-04-17,16000.0,148.75095411757164,27822.37745945645,43822.377459456446,40000.0,0
2023-04-18,16000.0,148.75095411757164,27416.287990248118,43416.28799024812,40000.0,0
2023-04-19,16000.0,148.75095411757164,26862.934259350004,42862.934259350004,40000.0,0
2023-04-20,16000.0,148.75095411757164,24244.918828736398,40244.918828736394,40000.0,0
2023-04-21,16000.0,148.75095411757164,24555.807778099857,40555.80777809986,40000.0,0
2023-04-24,16000.0,148.75095411757164,24179.468045763155,40179.468045763155,40000.0,0
2023-04-25,16000.0,148.75095411757164,23899.815525699105,39899.8155256991,40000.0,0
2023-04-26,16000.0,148.75095411757164,22870.45919557664,38870.45919557664,40000.0,0
2023-04-27,16000.0,148.75095411757164,23828.41570325531,39828.415703255305,40000.0,0
2023-04-28,16000.0,148.75095411757164,24441.268907896687,40441.26890789669,40000.0,0
2023-05-01,20000.0,185.77134848805454,30063.377665979366,50063.377665979366,50000.0,0
2023-05-02,20000.0,185.77134848805454,29781.004422576694,49781.00442257669,50000.0,0
2023-05-03,20000.0,185.77134848805454,29836.736394052274,49836.73639405228,50000.0,0
2023-05-04,20000.0,185.77134848805454,29946.340809345227,49946.34080934523,50000.0,0
2023-05-05,20000.0,185.77134848805454,31592.275070335225,51592.27507033522,50000.0,0
2023-05-08,20000.0,185.77134848805454,31913.658709518728,51913.65870951873,50000.0,0
2023-05-09,20000.0,185.77134848805454,31423.222462896098,51423.2224628961,50000.0,0
2023-05-10,20000.0,185.77134848805454,31309.901826932553,51309.90182693255,50000.0,0
2023-05-11,20000.0,185.77134848805454,31967.533987981926,51967.53398798192,50000.0,0
2023-05-12,20000.0,185.77134848805454,31205.870325322572,51205.87032532257,50000.0,0
2023-05-15,20000.0,185.77134848805454,30903.064954846202,50903.0649548462,50000.0,0
2023-05-16,20000.0,185.77134848805454,30934.645743931673,50934.64574393167,50000.0,0
2023-05-17,20000.0,185.77134848805454,32298.206761518995,52298.206761518995,50000.0,0
2023-05-18,20000.0,185.77134848805454,32861.09372066613,52861.09372066613,50000.0,0
2023-05-19,20000.0,185.77134848805454,33464.850603252315,53464.850603252315,50000.0,0
2023-05-22,20000.0,185.77134848805454,35086.633681852196,55086.633681852196,50000.0,0
2023-05-23,20000.0,185.77134848805454,34510.74420232673,54510.74420232673,50000.0,0
2023-05-24,20000.0,185.77134848805454,33977.578504606856,53977.578504606856,50000.0,0
2023-05-25,20000.0,185.77134848805454,34269.24088236309,54269.24088236309,50000.0,0
2023-05-26,20000.0,185.77134848805454,35885.451047279996,55885.451047279996,50000.0,0
2023-05-30,20000.0,185.77134848805454,37369.765142172044,57369.765142172044,50000.0,0
2023-05-31,20000.0,185.77134848805454,37884.34973653897,57884.34973653897,50000.0,0
2023-06-01,24000.0,214.64090499064494,44542.281520703524,68542.28152070352,60000.0,0
2023-06-02,24000.0,214.64090499064494,45926.71470286112,69926.71470286112,60000.0,0
2023-06-05,24000.0,214.64090499064494,46708.00746602066,70708.00746602066,60000.0,0
2023-06-06,24000.0,214.64090499064494,47502.178159453986,71502.178159454,60000.0,0
2023-06-07,24000.0,214.64090499064494,48201.90960582608,72201.90960582608,60000.0,0
2023-06-08,24000.0,214.64090499064494,50410.563077109284,74410.56307710928,60000.0,0
2023-06-09,24000.0,214.64090499064494,52458.235869649514,76458.2358696495,60000.0,0
2023-06-12,24000.0,214.64090499064494,53623.737686832064,77623.73768683206,60000.0,0
2023-06-13,24000.0,214.64090499064494,55529.74669603999,79529.74669603999,60000.0,0
2023-06-14,24000.0,214.64090499064494,55117.63982663748,79117.63982663749,60000.0,0
2023-06-15,24000.0,214.64090499064494,54926.60627704193,78926.60627704192,60000.0,0
2023-06-16,24000.0,214.64090499064494,55922.543220352396,79922.5432203524,60000.0,0
2023-06-20,24000.0,214.64090499064494,58908.19899481074,82908.19899481074,60000.0,0
2023-06-21,24000.0,214.64090499064494,55690.727374782975,79690.72737478297,60000.0,0
2023-06-22,24000.0,214.64090499064494,56796.126725420676,80796.12672542068,60000.0,0
2023-06-23,24000.0,214.64090499064494,55076.85753066361,79076.8575306636,60000.0,0
2023-06-26,24000.0,214.64090499064494,51739.19080302702,75739.19080302701,60000.0,0
2023-06-27,24000.0,214.64090499064494,53705.302278779796,77705.3022787798,60000.0,0
2023-06-28,24000.0,214.64090499064494,54999.58339870027,78999.58339870027,60000.0,0
2023-06-29,24000.0,214.64090499064494,55270.03303509107,79270.03303509107,60000.0,0
2023-06-30,24000.0,214.64090499064494,56186.54734128572,80186.54734128571,60000.0,0
2023-07-03,28000.0,236.0511341806543,66051.83009532082,94051.83009532082,70000.0,0
2023-07-05,28000.0,236.0511341806543,66679.72697668643,94679.72697668643,70000.0,0
2023-07-06,28000.0,236.0511341806543,65277.58266335664,93277.58266335665,70000.0,0
2023-07-07,28000.0,236.0511341806543,64779.51102430681,92779.51102430682,70000.0,0
2023-07-10,28000.0,236.0511341806543,63641.74282866592,91641.74282866591,70000.0,0
2023-07-11,28000.0,236.0511341806543,63684.23750763722,91684.23750763721,70000.0,0
2023-07-12,28000.0,236.0511341806543,64203.5456806093,92203.5456806093,70000.0,0
2023-07-13,28000.0,236.0511341806543,65598.60874806203,93598.60874806203,70000.0,0
2023-07-14,28000.0,236.0511341806543,66420.06928834593,94420.06928834593,70000.0,0
2023-07-17,28000.0,236.0511341806543,68544.52949597182,96544.52949597182,70000.0,0
2023-07-18,28000.0,236.0511341806543,69243.23883610805,97243.23883610805,70000.0,0
2023-07-19,28000.0,236.0511341806543,68752.25564664422,96752.25564664422,70000.0,0
2023-07-20,28000.0,236.0511341806543,62057.84173535222,90057.84173535222,70000.0,0
2023-07-21,28000.0,236.0511341806543,61378.01331631852,89378.01331631851,70000.0,0
2023-07-24,28000.0,236.0511341806543,63511.91758635013,91511.91758635013,70000.0,0
2023-07-25,28000.0,236.0511341806543,62619.64458729561,90619.64458729561,70000.0,0
2023-07-26,28000.0,236.0511341806543,62400.118761397745,90400.11876139775,70000.0,0
2023-07-27,28000.0,236.0511341806543,60360.63710615107,88360.63710615107,70000.0,0
